BIOGUIDE_ID,CATEGORY,AMOUNT,full_name,state,district,party,geoid
B001289,EQUIPMENT,6359.08,Bradley Byrne,AL,1,Republican,101
B001289,FRANKED MAIL,5092.67,Bradley Byrne,AL,1,Republican,101
B001289,OTHER SERVICES,30987.85,Bradley Byrne,AL,1,Republican,101
B001289,PERSONNEL COMPENSATION,1119530.24,Bradley Byrne,AL,1,Republican,101
B001289,PRINTING AND REPRODUCTION,2957.51,Bradley Byrne,AL,1,Republican,101
B001289,RENT  COMMUNICATION  UTILITIES,125826.86,Bradley Byrne,AL,1,Republican,101
B001289,SUPPLIES AND MATERIALS,11317.73,Bradley Byrne,AL,1,Republican,101
B001289,TRAVEL,19972.93,Bradley Byrne,AL,1,Republican,101
R000591,EQUIPMENT,18401.3,Martha Roby,AL,2,Republican,102
R000591,FRANKED MAIL,1415.72,Martha Roby,AL,2,Republican,102
R000591,OTHER SERVICES,41545.49,Martha Roby,AL,2,Republican,102
R000591,PERSONNEL COMPENSATION,1292470.25,Martha Roby,AL,2,Republican,102
R000591,PRINTING AND REPRODUCTION,749.46,Martha Roby,AL,2,Republican,102
R000591,RENT  COMMUNICATION  UTILITIES,75898.47,Martha Roby,AL,2,Republican,102
R000591,SUPPLIES AND MATERIALS,8415.97,Martha Roby,AL,2,Republican,102
R000591,TRAVEL,19302.82,Martha Roby,AL,2,Republican,102
R000575,EQUIPMENT,9975.74,Mike Rogers,AL,3,Republican,103
R000575,FRANKED MAIL,1077.23,Mike Rogers,AL,3,Republican,103
R000575,OTHER SERVICES,34106.12,Mike Rogers,AL,3,Republican,103
R000575,PERSONNEL COMPENSATION,1243238.49,Mike Rogers,AL,3,Republican,103
R000575,PRINTING AND REPRODUCTION,303.25,Mike Rogers,AL,3,Republican,103
R000575,RENT  COMMUNICATION  UTILITIES,52902.29,Mike Rogers,AL,3,Republican,103
R000575,SUPPLIES AND MATERIALS,11588.55,Mike Rogers,AL,3,Republican,103
R000575,TRAVEL,15691.89,Mike Rogers,AL,3,Republican,103
A000055,EQUIPMENT,32442.65,Robert B. Aderholt,AL,4,Republican,104
A000055,FRANKED MAIL,1607.79,Robert B. Aderholt,AL,4,Republican,104
A000055,OTHER SERVICES,25531.66,Robert B. Aderholt,AL,4,Republican,104
A000055,PERSONNEL COMPENSATION,1113446.83,Robert B. Aderholt,AL,4,Republican,104
A000055,PRINTING AND REPRODUCTION,15985.61,Robert B. Aderholt,AL,4,Republican,104
A000055,RENT  COMMUNICATION  UTILITIES,82917.85,Robert B. Aderholt,AL,4,Republican,104
A000055,SUPPLIES AND MATERIALS,38055.65,Robert B. Aderholt,AL,4,Republican,104
A000055,TRAVEL,38594.15,Robert B. Aderholt,AL,4,Republican,104
B001274,EQUIPMENT,11888.48,Mo Brooks,AL,5,Republican,105
B001274,FRANKED MAIL,76.65,Mo Brooks,AL,5,Republican,105
B001274,OTHER SERVICES,22060,Mo Brooks,AL,5,Republican,105
B001274,PERSONNEL COMPENSATION,1103774,Mo Brooks,AL,5,Republican,105
B001274,PRINTING AND REPRODUCTION,8654.14,Mo Brooks,AL,5,Republican,105
B001274,RENT  COMMUNICATION  UTILITIES,77289.09,Mo Brooks,AL,5,Republican,105
B001274,SUPPLIES AND MATERIALS,13215.47,Mo Brooks,AL,5,Republican,105
B001274,TRAVEL,28394.25,Mo Brooks,AL,5,Republican,105
P000609,EQUIPMENT,3366,Gary J. Palmer,AL,6,Republican,106
P000609,FRANKED MAIL,366.3,Gary J. Palmer,AL,6,Republican,106
P000609,OTHER SERVICES,22740,Gary J. Palmer,AL,6,Republican,106
P000609,PERSONNEL COMPENSATION,1025108.38,Gary J. Palmer,AL,6,Republican,106
P000609,PRINTING AND REPRODUCTION,2799.98,Gary J. Palmer,AL,6,Republican,106
P000609,RENT  COMMUNICATION  UTILITIES,60045.5,Gary J. Palmer,AL,6,Republican,106
P000609,SUPPLIES AND MATERIALS,21576.77,Gary J. Palmer,AL,6,Republican,106
P000609,TRAVEL,24700.79,Gary J. Palmer,AL,6,Republican,106
S001185,EQUIPMENT,20748.83,Terri Sewell,AL,7,Democrat,107
S001185,FRANKED MAIL,7261.22,Terri Sewell,AL,7,Democrat,107
S001185,OTHER SERVICES,51882.79,Terri Sewell,AL,7,Democrat,107
S001185,PERSONNEL COMPENSATION,963706.12,Terri Sewell,AL,7,Democrat,107
S001185,PRINTING AND REPRODUCTION,35956.82,Terri Sewell,AL,7,Democrat,107
S001185,RENT  COMMUNICATION  UTILITIES,158741.32,Terri Sewell,AL,7,Democrat,107
S001185,SUPPLIES AND MATERIALS,50384.04,Terri Sewell,AL,7,Democrat,107
S001185,TRANSPORTATION OF THINGS,8.75,Terri Sewell,AL,7,Democrat,107
S001185,TRAVEL,61276.16,Terri Sewell,AL,7,Democrat,107
Y000033,EQUIPMENT,16508.13,Don Young,AK,0,Republican,200
Y000033,FRANKED MAIL,744.87,Don Young,AK,0,Republican,200
Y000033,OTHER SERVICES,53170,Don Young,AK,0,Republican,200
Y000033,PERSONNEL COMPENSATION,1239543.58,Don Young,AK,0,Republican,200
Y000033,PRINTING AND REPRODUCTION,3728.25,Don Young,AK,0,Republican,200
Y000033,RENT  COMMUNICATION  UTILITIES,87414.96,Don Young,AK,0,Republican,200
Y000033,SUPPLIES AND MATERIALS,16900.73,Don Young,AK,0,Republican,200
Y000033,TRAVEL,50975.74,Don Young,AK,0,Republican,200
O000171,EQUIPMENT,13053.56,Tom O'Halleran,AZ,1,Democrat,401
O000171,FRANKED MAIL,5830.43,Tom O'Halleran,AZ,1,Democrat,401
O000171,OTHER SERVICES,30575,Tom O'Halleran,AZ,1,Democrat,401
O000171,PERSONNEL COMPENSATION,1078354.73,Tom O'Halleran,AZ,1,Democrat,401
O000171,PRINTING AND REPRODUCTION,103294.61,Tom O'Halleran,AZ,1,Democrat,401
O000171,RENT  COMMUNICATION  UTILITIES,91369.33,Tom O'Halleran,AZ,1,Democrat,401
O000171,SUPPLIES AND MATERIALS,18079.16,Tom O'Halleran,AZ,1,Democrat,401
O000171,TRAVEL,52307.81,Tom O'Halleran,AZ,1,Democrat,401
K000368,EQUIPMENT,24320.39,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,FRANKED MAIL,1094.05,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,OTHER SERVICES,20319.17,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,PERSONNEL COMPENSATION,1149785.23,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,PRINTING AND REPRODUCTION,1307.1,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,RENT  COMMUNICATION  UTILITIES,84024.16,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,SUPPLIES AND MATERIALS,16578.09,Ann Kirkpatrick,AZ,2,Democrat,402
K000368,TRAVEL,24407.64,Ann Kirkpatrick,AZ,2,Democrat,402
G000551,EQUIPMENT,21386.17,Raul M. Grijalva,AZ,3,Democrat,403
G000551,FRANKED MAIL,15265.02,Raul M. Grijalva,AZ,3,Democrat,403
G000551,OTHER SERVICES,47149.81,Raul M. Grijalva,AZ,3,Democrat,403
G000551,PERSONNEL COMPENSATION,1176728.28,Raul M. Grijalva,AZ,3,Democrat,403
G000551,PRINTING AND REPRODUCTION,7953.45,Raul M. Grijalva,AZ,3,Democrat,403
G000551,RENT  COMMUNICATION  UTILITIES,88455.79,Raul M. Grijalva,AZ,3,Democrat,403
G000551,SUPPLIES AND MATERIALS,33163.18,Raul M. Grijalva,AZ,3,Democrat,403
G000551,TRAVEL,25542.66,Raul M. Grijalva,AZ,3,Democrat,403
G000565,EQUIPMENT,23999.99,Paul A. Gosar,AZ,4,Republican,404
G000565,FRANKED MAIL,127675.83,Paul A. Gosar,AZ,4,Republican,404
G000565,OTHER SERVICES,22965.66,Paul A. Gosar,AZ,4,Republican,404
G000565,PERSONNEL COMPENSATION,884974.51,Paul A. Gosar,AZ,4,Republican,404
G000565,PRINTING AND REPRODUCTION,94565.93,Paul A. Gosar,AZ,4,Republican,404
G000565,RENT  COMMUNICATION  UTILITIES,102472.89,Paul A. Gosar,AZ,4,Republican,404
G000565,SUPPLIES AND MATERIALS,17684.62,Paul A. Gosar,AZ,4,Republican,404
G000565,TRAVEL,116312.09,Paul A. Gosar,AZ,4,Republican,404
B001302,EQUIPMENT,17395.21,Andy Biggs,AZ,5,Republican,405
B001302,FRANKED MAIL,26982.93,Andy Biggs,AZ,5,Republican,405
B001302,OTHER SERVICES,42452.96,Andy Biggs,AZ,5,Republican,405
B001302,PERSONNEL COMPENSATION,903406.87,Andy Biggs,AZ,5,Republican,405
B001302,PRINTING AND REPRODUCTION,57354.24,Andy Biggs,AZ,5,Republican,405
B001302,RENT  COMMUNICATION  UTILITIES,101921.63,Andy Biggs,AZ,5,Republican,405
B001302,SUPPLIES AND MATERIALS,38019,Andy Biggs,AZ,5,Republican,405
B001302,TRAVEL,51618.46,Andy Biggs,AZ,5,Republican,405
S001183,EQUIPMENT,18768.8,David Schweikert,AZ,6,Republican,406
S001183,FRANKED MAIL,82335.91,David Schweikert,AZ,6,Republican,406
S001183,OTHER SERVICES,43609.5,David Schweikert,AZ,6,Republican,406
S001183,PERSONNEL COMPENSATION,1064558.66,David Schweikert,AZ,6,Republican,406
S001183,PRINTING AND REPRODUCTION,63545.11,David Schweikert,AZ,6,Republican,406
S001183,RENT  COMMUNICATION  UTILITIES,141918.95,David Schweikert,AZ,6,Republican,406
S001183,SUPPLIES AND MATERIALS,32880.74,David Schweikert,AZ,6,Republican,406
S001183,TRAVEL,14801.27,David Schweikert,AZ,6,Republican,406
G000574,EQUIPMENT,26235.57,Ruben Gallego,AZ,7,Democrat,407
G000574,FRANKED MAIL,19413.58,Ruben Gallego,AZ,7,Democrat,407
G000574,OTHER SERVICES,42698,Ruben Gallego,AZ,7,Democrat,407
G000574,PERSONNEL COMPENSATION,998614.6,Ruben Gallego,AZ,7,Democrat,407
G000574,PRINTING AND REPRODUCTION,121061.8,Ruben Gallego,AZ,7,Democrat,407
G000574,RENT  COMMUNICATION  UTILITIES,87009.45,Ruben Gallego,AZ,7,Democrat,407
G000574,SUPPLIES AND MATERIALS,15020.55,Ruben Gallego,AZ,7,Democrat,407
G000574,TRAVEL,16661.74,Ruben Gallego,AZ,7,Democrat,407
L000589,EQUIPMENT,22352.83,Debbie Lesko,AZ,8,Republican,408
L000589,FRANKED MAIL,123697.33,Debbie Lesko,AZ,8,Republican,408
L000589,OTHER SERVICES,50565.7,Debbie Lesko,AZ,8,Republican,408
L000589,PERSONNEL COMPENSATION,966390.73,Debbie Lesko,AZ,8,Republican,408
L000589,PRINTING AND REPRODUCTION,157783.76,Debbie Lesko,AZ,8,Republican,408
L000589,RENT  COMMUNICATION  UTILITIES,119322.07,Debbie Lesko,AZ,8,Republican,408
L000589,SUPPLIES AND MATERIALS,42878.36,Debbie Lesko,AZ,8,Republican,408
L000589,TRANSPORTATION OF THINGS,14.95,Debbie Lesko,AZ,8,Republican,408
L000589,TRAVEL,45483.07,Debbie Lesko,AZ,8,Republican,408
S001211,EQUIPMENT,27909.86,Greg Stanton,AZ,9,Democrat,409
S001211,FRANKED MAIL,8365.77,Greg Stanton,AZ,9,Democrat,409
S001211,OTHER SERVICES,50189.81,Greg Stanton,AZ,9,Democrat,409
S001211,PERSONNEL COMPENSATION,1049751.41,Greg Stanton,AZ,9,Democrat,409
S001211,PRINTING AND REPRODUCTION,98640.68,Greg Stanton,AZ,9,Democrat,409
S001211,RENT  COMMUNICATION  UTILITIES,80052.14,Greg Stanton,AZ,9,Democrat,409
S001211,SUPPLIES AND MATERIALS,75103.11,Greg Stanton,AZ,9,Democrat,409
